Movie Name,Views,Comments,Dislikes,Likes
Avengers Endgame,139495696,263000,61000,3000
GreenLand,"10,980,227",1800,597,13
Tenet,"28,336,958",29000,8800,380
Joker,"93,627,412",106000,40000,1400
Angel Has Fallen,"14,469,389",2300,2100,48
Mission : Impossible - Fallout,"38,087,054",24000,8000,323
Bird Box,"23,790,547",15000,8100,191
Sonic The Hedgehog,"44,949,003",114000,24000,1M
Escape Room,"21,730,124",7400,3200,121
Gone Girl,"5,188,036",839,380,18
The Social Network,"13,002,441",8600,1800,50
A Quite Place,"26,205,072",11000,3500,105
San Andreas,"25,930,439",7700,4300,73
Lucy,5047853,2000,649,18
2012,5151595,5500,1100,13
Blade Runner 2049,"31,813,912",18000,10000,193
Ghost in the Shell,"33,582,250",26000,22000,182
Mad Max : fury Road,"33,115,690",13000,6000,129
Logan,"32,393,370",33000,4700,291
